Maleficent: Mistress of Evil,39,95,audience,"An absolute adrenalin rush.
Highly recommend.
One must wonder why the disparity in critic versus audience scores. This movie is a masterpiece of subtlety that rewatching brings fulfillment and joy to the heart. You are taken once again on tale of solitary moments cherished in time from proposal, trepidation, and Maleficent's undying love for Aurora. You feel her torment but realize with her the importance of understanding. One person's fear and prejudice forced two Kingdoms into a war neither one wanted. And you once again realize the sheer power Maleficent has at her command, even among her own kind, not just with respect to man. She is one not to be crossed and she made that clear. This movie is a wonderfully balanced journey of fear and bravery, pain and joy, and seeing peace rise from war. There is nothing Maleficent would not do for Aurora and that includes ... (no more spoilers)
Watch this movie. Appreciate the nuance. Then watch it again.
And when you read the critics reviews you will understand that they just don't get what fairy tales are all about.
Now go!"
Maleficent: Mistress of Evil,39,95,audience,"With this sequel to the incredible 'Maleficent', Disney attempts to recapture the wonder of the first film, but unfortunately it does fall short. That isn't to discredit the story itself, but compared to the first film, we are left wanting more from Jolie's performance. The visuals are still beautiful just like the first, but the script does create some dragging scenes."
Maleficent: Mistress of Evil,39,95,audience,"Esta película, SOBRABA. 
Con la primera estaba todo perfect y con un final cerrado.
Es segunda parte me ha parecido insulsa y aburrida. 
No me gusta la actuación de la rubita (se me olvidó el nombre), Angelina muy bien.
Pero la historia deja mucho que desear, para mi gusto tiene muchos huecos argumentales y esta pasando todo muy deprisa, al punto que la película no se disfruta para nada."
Maleficent: Mistress of Evil,39,95,audience,Its a good film but not better than maleficent 1 but you would like it. Good as a fantasy film
Maleficent: Mistress of Evil,39,95,audience,One of the worst movies I have ever seen
Maleficent: Mistress of Evil,39,95,audience,"La película es increíble me a llegado al corazón como pocas y me toco asta la fibra sencible es una película increíble no hay otra palabra para describirla, increible"
Maleficent: Mistress of Evil,39,95,audience,Decent sequel to the original movie. I liked the design of the kingdom and Angelina Jolie was great but the script and the antagonist were a bit weak. All in all a nice watch for the weekend.
Maleficent: Mistress of Evil,39,95,audience,watchable and mostly fun but ruins the integrity of the characters 
Maleficent: Mistress of Evil,39,95,audience,A children's film for adults
Maleficent: Mistress of Evil,39,95,audience,It was a torture whenever Elle Fanning speaks or acts. So out of drama.
Maleficent: Mistress of Evil,39,95,critic,"
The dialogue is hopelessly trite and generic, maladroitly trying to balance predictable exposition with comic relief - from countless different sources.
 "
Maleficent: Mistress of Evil,39,95,critic,"
'Disney's Maleficent: Mistress of Evil' is beautifully animated, but there are many dark moments and themes within the movie that overshadow the notion that this film is supposed to be for kids or younger audiences.
 "
Maleficent: Mistress of Evil,39,95,critic,"
The Disney live-action fairy tale sequel that begs the question ""Is Angelina Jolie too popularly disliked now to play anything but beautiful villainesses?""
 "
Maleficent: Mistress of Evil,39,95,critic,"
There's a lot of money on the screen, Angelina Jolie is once again really good in the film, the musical score is great, and some of the action sequences are cool. But the story this time around is even less investing than last time.
 "
Maleficent: Mistress of Evil,39,95,critic,"
The sequel, however, is thankfully an improvement over the poorly-executed first movie, thanks to the more experienced director Joachim Rønning.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Maleficient: Mistress of Evil could certainly be worse, but that does not make it a good movie either.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Pfeiffer, as usual, is magnificently portraying the not so innocent and kind-hearted queen.
 "
Maleficent: Mistress of Evil,39,95,critic,"
These elements give the movie a nice shine, but when you bust out the polish to make your shoe look pretty, it doesn't make a difference if the sole is missing.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Mistress of Evil is simultaneously overdone and undercooked, with a lot of the customary mistakes of giant studio entertainment.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Maleficent 2 is weirdly memorable with strange visual choices, great costumes, and two true movie stars giving each other the stink eye.
 "
Maleficent: Mistress of Evil,39,95,critic,"
... a feast for the senses and the mind in terms of pure fantasy and imagination... buries significant character opportunities, as if the writers were tasked to combine three different scripts that defied being strung together.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Mistress of Evil could have done anything it wanted with its unconventional villain. And yet, for some reason, Disney chose to clip her wings - keeping her story from ever taking flight.
 "
Maleficent: Mistress of Evil,39,95,critic,"
The moment they put two men on Mistress of Evil's screenplay was the moment it was doomed.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Jolie is the macabre somnolent beauty, practically sleepwalking through a fable with excessively hard-hitting aims and regrettably banal execution.
 "
Maleficent: Mistress of Evil,39,95,critic,"
As much as I hate to say it, if you love Maleficent and her story, stop at the 2014 film or even rewatch the classic Sleeping Beauty. This sequel doesn't do the character or the Disney legacy justice.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Truth is, if Disney had a little more guts, they would have made this a trilogy, and given it the care that other major fantasy epics receive.
 "
Maleficent: Mistress of Evil,39,95,critic,"
The writing and character building are the movie's main weaknesses.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Second 'Maleficent' never really takes off.
 "
Maleficent: Mistress of Evil,39,95,critic,"
Once the battles get going, the film is really pretty exciting.
 "
Maleficent: Mistress of Evil,39,95,critic,"
I don't know if this is a sequel we need. A strong message for kids, but their parents may get a little bored.
 "
El Camino: A Breaking Bad Movie,91,81,audience,Just the perfect conclusion to Jesses story.
